project,availability_type,exogenous_availability_independent_scenario_id,exogenous_availability_weather_scenario_id,exogenous_availability_independent_bt_hrz_scenario_id,exogenous_availability_weather_bt_hrz_scenario_id,endogenous_availability_scenario_id
MISO_W_BATTERY_STORAGE,exogenous,,,1,3,
MISO_W_BIOMASS,exogenous,,,1,3,
MISO_W_COAL,exogenous,,,1,3,
MISO_W_DGPV,exogenous,,,1,3,
MISO_W_DR,exogenous,,,1,3,
MISO_W_GAS_(DUAL_FUEL),exogenous,,,1,3,
MISO_W_GAS_(SINGLE_FUEL),exogenous,,,1,3,
MISO_W_GEOTHERMAL,exogenous,,,1,3,
MISO_W_HYDRO,exogenous,,,1,3,
MISO_W_LBW,exogenous,,,1,3,
MISO_W_NUCLEAR,exogenous,,,1,3,
MISO_W_OIL,exogenous,,,1,3,
MISO_W_OTHER,exogenous,,,1,3,
MISO_W_PUMPED_STORAGE,exogenous,,,1,3,
MISO_W_UPV,exogenous,,,1,3,
NYISO_BATTERY_STORAGE,exogenous,,,1,3,
NYISO_BIOMASS,exogenous,,,1,3,
NYISO_COAL,exogenous,,,1,3,
NYISO_DGPV,exogenous,,,1,3,
NYISO_DR,exogenous,,,1,3,
NYISO_GAS_(DUAL_FUEL),exogenous,,,1,3,
NYISO_GAS_(SINGLE_FUEL),exogenous,,,1,3,
NYISO_GEOTHERMAL,exogenous,,,1,3,
NYISO_HYDRO,exogenous,,,1,3,
NYISO_LBW,exogenous,,,1,3,
NYISO_NUCLEAR,exogenous,,,1,3,
NYISO_OIL,exogenous,,,1,3,
NYISO_OSW,exogenous,,,1,3,
NYISO_OTHER,exogenous,,,1,3,
NYISO_PUMPED_STORAGE,exogenous,,,1,3,
NYISO_UPV,exogenous,,,1,3,
PJM_E_BATTERY_STORAGE,exogenous,,,1,3,
PJM_E_BIOMASS,exogenous,,,1,3,
PJM_E_COAL,exogenous,,,1,3,
PJM_E_DGPV,exogenous,,,1,3,
PJM_E_DR,exogenous,,,1,3,
PJM_E_GAS_(DUAL_FUEL),exogenous,,,1,3,
PJM_E_GAS_(SINGLE_FUEL),exogenous,,,1,3,
PJM_E_GEOTHERMAL,exogenous,,,1,3,
PJM_E_HYDRO,exogenous,,,1,3,
PJM_E_LBW,exogenous,,,1,3,
PJM_E_NUCLEAR,exogenous,,,1,3,
PJM_E_OIL,exogenous,,,1,3,
PJM_E_OSW,exogenous,,,1,3,
PJM_E_OTHER,exogenous,,,1,3,
PJM_E_PUMPED_STORAGE,exogenous,,,1,3,
PJM_E_UPV,exogenous,,,1,3,
PJM_S_BATTERY_STORAGE,exogenous,,,1,3,
PJM_S_BIOMASS,exogenous,,,1,3,
PJM_S_COAL,exogenous,,,1,3,
PJM_S_DGPV,exogenous,,,1,3,
PJM_S_DR,exogenous,,,1,3,
PJM_S_GAS_(DUAL_FUEL),exogenous,,,1,3,
PJM_S_GAS_(SINGLE_FUEL),exogenous,,,1,3,
PJM_S_GEOTHERMAL,exogenous,,,1,3,
PJM_S_HYDRO,exogenous,,,1,3,
PJM_S_LBW,exogenous,,,1,3,
PJM_S_NUCLEAR,exogenous,,,1,3,
PJM_S_OIL,exogenous,,,1,3,
PJM_S_OSW,exogenous,,,1,3,
PJM_S_OTHER,exogenous,,,1,3,
PJM_S_PUMPED_STORAGE,exogenous,,,1,3,
PJM_S_UPV,exogenous,,,1,3,
PJM_W_BATTERY_STORAGE,exogenous,,,1,3,
PJM_W_BIOMASS,exogenous,,,1,3,
