Proxy_Region,min,median,max
HQ,0.0026065016577350533,0.6828020227871388,1.0
IESO,0.0035087719298245615,0.5718831383747165,1.0
MARITIMES,0.011918951132300357,0.2811183829765288,1.0
MB_HYDRO,0.004206983592763988,0.36954221530927367,1.0
SASK_POWER,0.07042253521126761,0.07042253521126761,1.0
SPP_N,0.0358937544867195,0.03597122302158273,1.0
SPP_S,0.008361204013377926,0.2450567227387791,1.0
