project,specified,new_build,capacity_type
SERC_C_GAS_DUAL_FUEL,,,gen_spec
SERC_C_GAS_SINGLE_FUEL,,,gen_spec
SERC_C_GEOTHERMAL,,,gen_spec
SERC_C_HYDRO,,,gen_spec
SERC_C_LBW,,,gen_spec
SERC_C_NUCLEAR,,,gen_spec
SERC_C_OIL,,,gen_spec
SERC_C_OTHER,,,gen_spec
SERC_C_PUMPED_STORAGE,,,stor_spec
SERC_C_UPV,,,gen_spec
SERC_E_BATTERY_STORAGE,,,stor_spec
SERC_E_BIOMASS,,,gen_spec
SERC_E_COAL,,,gen_spec
SERC_E_DGPV,,,gen_spec
SERC_E_DR,,,gen_spec
SERC_E_GAS_DUAL_FUEL,,,gen_spec
SERC_E_GAS_SINGLE_FUEL,,,gen_spec
SERC_E_GEOTHERMAL,,,gen_spec
SERC_E_HYDRO,,,gen_spec
SERC_E_NUCLEAR,,,gen_spec
SERC_E_OIL,,,gen_spec
SERC_E_OTHER,,,gen_spec
SERC_E_PUMPED_STORAGE,,,stor_spec
SERC_E_UPV,,,gen_spec
SERC_FL_BATTERY_STORAGE,,,stor_spec
SERC_FL_BIOMASS,,,gen_spec
SERC_FL_COAL,,,gen_spec
SERC_FL_DGPV,,,gen_spec
SERC_FL_DR,,,gen_spec
SERC_FL_GAS_DUAL_FUEL,,,gen_spec
SERC_FL_GAS_SINGLE_FUEL,,,gen_spec
SERC_FL_GEOTHERMAL,,,gen_spec
SERC_FL_HYDRO,,,gen_spec
SERC_FL_NUCLEAR,,,gen_spec
SERC_FL_OIL,,,gen_spec
SERC_FL_OTHER,,,gen_spec
SERC_FL_PUMPED_STORAGE,,,stor_spec
SERC_FL_UPV,,,gen_spec
SERC_SE_BATTERY_STORAGE,,,stor_spec
SERC_SE_BIOMASS,,,gen_spec
SERC_SE_COAL,,,gen_spec
SERC_SE_DGPV,,,gen_spec
SERC_SE_DR,,,gen_spec
SERC_SE_GAS_DUAL_FUEL,,,gen_spec
SERC_SE_GAS_SINGLE_FUEL,,,gen_spec
SERC_SE_GEOTHERMAL,,,gen_spec
SERC_SE_HYDRO,,,gen_spec
SERC_SE_NUCLEAR,,,gen_spec
SERC_SE_OIL,,,gen_spec
SERC_SE_OTHER,,,gen_spec
SERC_SE_PUMPED_STORAGE,,,stor_spec
SERC_SE_UPV,,,gen_spec
SPP_N_BATTERY_STORAGE,,,stor_spec
SPP_N_BIOMASS,,,gen_spec
SPP_N_COAL,,,gen_spec
SPP_N_DGPV,,,gen_spec
SPP_N_DR,,,gen_spec
SPP_N_GAS_DUAL_FUEL,,,gen_spec
SPP_N_GAS_SINGLE_FUEL,,,gen_spec
SPP_N_GEOTHERMAL,,,gen_spec
SPP_N_HYDRO,,,gen_spec
SPP_N_LBW,,,gen_spec
SPP_N_NUCLEAR,,,gen_spec
SPP_N_OIL,,,gen_spec
SPP_N_OTHER,,,gen_spec
SPP_N_PUMPED_STORAGE,,,stor_spec
SPP_N_UPV,,,gen_spec
SPP_S_BATTERY_STORAGE,,,stor_spec
SPP_S_BIOMASS,,,gen_spec
SPP_S_COAL,,,gen_spec
SPP_S_DGPV,,,gen_spec
SPP_S_DR,,,gen_spec
SPP_S_GAS_DUAL_FUEL,,,gen_spec
SPP_S_GAS_SINGLE_FUEL,,,gen_spec
SPP_S_GEOTHERMAL,,,gen_spec
SPP_S_HYDRO,,,gen_spec
SPP_S_LBW,,,gen_spec
SPP_S_NUCLEAR,,,gen_spec
SPP_S_OIL,,,gen_spec
SPP_S_OTHER,,,gen_spec
SPP_S_PUMPED_STORAGE,,,stor_spec
SPP_S_UPV,,,gen_spec
