weather_iteration,hydro_iteration,stage_id,timepoint,cap_factor
1,1,1,1,0.679733599
1,1,1,2,0.652856732
1,1,1,3,0.634183338
1,1,1,4,0.61156903
1,1,1,5,0.586958026
1,1,1,6,0.565609983
1,1,1,7,0.546
1,1,1,8,0.391460692
1,1,1,9,0.207728148
1,1,1,10,0.175957675
1,1,1,11,0.156725173
1,1,1,12,0.145571839
1,1,1,13,0.137060696
1,1,1,14,0.132902651
1,1,1,15,0.133357305
1,1,1,16,0.129301204
1,1,1,17,0.210020866
1,1,1,18,0.332537709
1,1,1,19,0.430736957
1,1,1,20,0.518747817
1,1,1,21,0.584139349
1,1,1,22,0.622825176
1,1,1,23,0.645254646
1,1,1,24,0.650598224
1,1,1,25,0.639696083
1,1,1,26,0.621167892
1,1,1,27,0.590777311
1,1,1,28,0.554215514
1,1,1,29,0.525725691
1,1,1,30,0.490781053
1,1,1,31,0.453
1,1,1,32,0.232280226
1,1,1,33,0.039305513
1,1,1,34,0.036733002
1,1,1,35,0.027953038
1,1,1,36,0.017428406
1,1,1,37,0.011871583
1,1,1,38,0.011389012
1,1,1,39,0.014213783
1,1,1,40,0.019598903
1,1,1,41,0.053204586
1,1,1,42,0.095338086
1,1,1,43,0.12953341
1,1,1,44,0.1440825
1,1,1,45,0.137881213
1,1,1,46,0.114923697
1,1,1,47,0.087840449
1,1,1,48,0.06722365
1,1,1,49,0.053321003
1,1,1,50,0.042297248
1,1,1,51,0.033264444
1,1,1,52,0.026891124
1,1,1,53,0.02310756
1,1,1,54,0.021347895
1,1,1,55,0.022593012
1,1,1,56,0.022501117
1,1,1,57,0.003654207
1,1,1,58,0.000463643
1,1,1,59,0.000663595
1,1,1,60,0.001455319
1,1,1,61,0.003567598
1,1,1,62,0.007283997
1,1,1,63,0.01324469
1,1,1,64,0.025099485
1,1,1,65,0.070669201
1,1,1,66,0.127222944
1,1,1,67,0.184332315
1,1,1,68,0.224713321
1,1,1,69,0.267670932
1,1,1,70,0.31554674
1,1,1,71,0.357379072
1,1,1,72,0.394076137
1,1,1,73,0.411464764
1,1,1,74,0.403037545
1,1,1,75,0.399175939
1,1,1,76,0.396279946
1,1,1,77,0.401113882
1,1,1,78,0.402092108
1,1,1,79,0.403986475
1,1,1,80,0.396786947
1,1,1,81,0.375046702
1,1,1,82,0.36048482
1,1,1,83,0.326714413
1,1,1,84,0.336453948
1,1,1,85,0.36777189
1,1,1,86,0.401798671
1,1,1,87,0.431944259
1,1,1,88,0.471523743
1,1,1,89,0.50193525
1,1,1,90,0.504265057
1,1,1,91,0.478002499
1,1,1,92,0.45720236
1,1,1,93,0.420418486
1,1,1,94,0.402905828
1,1,1,95,0.374485117
1,1,1,96,0.333370413
1,1,1,97,0.295330222
1,1,1,98,0.279193558
1,1,1,99,0.265627443
1,1,1,100,0.239289929
1,1,1,101,0.200479619
1,1,1,102,0.173316002
1,1,1,103,0.16449656
1,1,1,104,0.152943334
1,1,1,105,0.133188462
1,1,1,106,0.123101091
1,1,1,107,0.122091749
1,1,1,108,0.13030002
1,1,1,109,0.136051107
1,1,1,110,0.139107873
1,1,1,111,0.134004905
1,1,1,112,0.127159745
1,1,1,113,0.167820484
1,1,1,114,0.227563275
1,1,1,115,0.265623519
1,1,1,116,0.270665586
1,1,1,117,0.248682729
1,1,1,118,0.225290374
1,1,1,119,0.201263266
1,1,1,120,0.190388871
1,1,1,121,0.184285685
1,1,1,122,0.184064988
1,1,1,123,0.184747232
1,1,1,124,0.180812893
1,1,1,125,0.175620554
1,1,1,126,0.172376916
1,1,1,127,0.177
1,1,1,128,0.163144632
1,1,1,129,0.078125067
1,1,1,130,0.055853071
1,1,1,131,0.043538646
1,1,1,132,0.034857493
1,1,1,133,0.028611347
1,1,1,134,0.024474355
1,1,1,135,0.02340602
1,1,1,136,0.030004301
1,1,1,137,0.069624003
1,1,1,138,0.118409134
1,1,1,139,0.154360258
1,1,1,140,0.182259618
1,1,1,141,0.190862163
1,1,1,142,0.185896616
1,1,1,143,0.168001226
1,1,1,144,0.145938367
1,1,1,145,0.117934748
1,1,1,146,0.100158948
1,1,1,147,0.093825783
1,1,1,148,0.095059501
1,1,1,149,0.10624533
1,1,1,150,0.125650303
1,1,1,151,0.142527731
1,1,1,152,0.150130719
1,1,1,153,0.127289793
1,1,1,154,0.097459056
1,1,1,155,0.090390475
1,1,1,156,0.106566449
1,1,1,157,0.132922105
1,1,1,158,0.172844468
1,1,1,159,0.223176359
1,1,1,160,0.258502465
1,1,1,161,0.407336098
1,1,1,162,0.5840016
1,1,1,163,0.69574338
1,1,1,164,0.780713405
1,1,1,165,0.837277141
1,1,1,166,0.871967978
1,1,1,167,0.893206987
1,1,1,168,0.895018509
1,1,1,169,0.876174725
1,1,1,170,0.840396686
1,1,1,171,0.778535542
1,1,1,172,0.698612411
