weather_iteration,hydro_iteration,stage_id,balancing_type_project,horizon,average_power_fraction,min_power_fraction,max_power_fraction
0,1,1,day,1,0.02834795321637427,0,1
0,1,1,day,2,0.5798099415204678,0,1
0,1,1,day,3,0.6433771929824561,0,1
0,1,1,day,4,0.6620321637426901,0,1
0,1,1,day,5,0.6301754385964913,0,1
0,1,1,day,6,0.6726608187134503,0,1
0,1,1,day,7,0.6807017543859649,0,1
0,1,1,day,8,0.6293859649122807,0,1
0,1,1,day,9,0.6029239766081871,0,1
0,1,1,day,10,0.669780701754386,0,1
0,1,1,day,11,0.7125,0,1
0,1,1,day,12,0.666578947368421,0,1
0,1,1,day,13,0.6753654970760234,0,1
0,1,1,day,14,0.6406871345029239,0,1
0,1,1,day,15,0.6822222222222222,0,1
0,1,1,day,16,0.578625730994152,0,1
0,1,1,day,17,0.5701461988304094,0,1
0,1,1,day,18,0.5919444444444445,0,1
0,1,1,day,19,0.6894005847953216,0,1
0,1,1,day,20,0.6314766081871345,0,1
0,1,1,day,21,0.7018713450292398,0,1
0,1,1,day,22,0.7037865497076023,0,1
0,1,1,day,23,0.6516520467836256,0,1
0,1,1,day,24,0.5394005847953217,0,1
0,1,1,day,25,0.707514619883041,0,1
0,1,1,day,26,0.7826023391812865,0,1
0,1,1,day,27,0.6587573099415205,0,1
0,1,1,day,28,0.7414181286549707,0,1
0,1,1,day,29,0.7570760233918128,0,1
0,1,1,day,30,0.7992105263157895,0,1
0,1,1,day,31,0.7996491228070175,0,1
0,1,1,day,32,0.8613304093567251,0,1
0,1,1,day,33,0.8461842105263158,0,1
0,1,1,day,34,0.7794005847953216,0,1
0,1,1,day,35,0.7606140350877193,0,1
0,1,1,day,36,0.7394005847953216,0,1
0,1,1,day,37,0.7085672514619883,0,1
0,1,1,day,38,0.6291666666666667,0,1
0,1,1,day,39,0.6730263157894737,0,1
0,1,1,day,40,0.7311988304093566,0,1
0,1,1,day,41,0.6289473684210526,0,1
0,1,1,day,42,0.5995029239766082,0,1
0,1,1,day,43,0.5142105263157895,0,1
0,1,1,day,44,0.5608625730994152,0,1
0,1,1,day,45,0.4577777777777778,0,1
0,1,1,day,46,0.739108187134503,0,1
0,1,1,day,47,0.7142543859649123,0,1
0,1,1,day,48,0.6999415204678362,0,1
0,1,1,day,49,0.8359795321637427,0,1
0,1,1,day,50,0.7171052631578947,0,1
0,1,1,day,51,0.5489766081871345,0,1
0,1,1,day,52,0.5923538011695906,0,1
0,1,1,day,53,0.6975292397660818,0,1
0,1,1,day,54,0.6657456140350877,0,1
0,1,1,day,55,0.5829824561403508,0,1
0,1,1,day,56,0.5096637426900585,0,1
0,1,1,day,57,0.48611111111111116,0,1
0,1,1,day,58,0.5180994152046783,0,1
0,1,1,day,59,0.5476461988304094,0,1
0,1,1,day,60,0.6571052631578947,0,1
0,1,1,day,61,0.33596491228070174,0,1
0,1,1,day,62,0.3950877192982456,0,1
0,1,1,day,63,0.3946491228070175,0,1
0,1,1,day,64,0.5225877192982457,0,1
0,1,1,day,65,0.5957163742690059,0,1
0,1,1,day,66,0.4489766081871345,0,1
0,1,1,day,67,0.6399415204678363,0,1
0,1,1,day,68,0.43827485380116954,0,1
0,1,1,day,69,0.6925730994152046,0,1
0,1,1,day,70,0.6558918128654971,0,1
0,1,1,day,71,0.48274853801169587,0,1
0,1,1,day,72,0.4479678362573099,0,1
0,1,1,day,73,0.48296783625730993,0,1
0,1,1,day,74,0.5106286549707603,0,1
0,1,1,day,75,0.6344005847953217,0,1
0,1,1,day,76,0.5387134502923976,0,1
0,1,1,day,77,0.728421052631579,0,1
0,1,1,day,78,0.5961988304093567,0,1
0,1,1,day,79,0.46133040935672515,0,1
0,1,1,day,80,0.5348099415204678,0,1
0,1,1,day,81,0.44763157894736844,0,1
0,1,1,day,82,0.4075,0,1
0,1,1,day,83,0.5428654970760234,0,1
0,1,1,day,84,0.41973684210526313,0,1
0,1,1,day,85,0.42125730994152044,0,1
0,1,1,day,86,0.2803216374269006,0,1
0,1,1,day,87,0.33033625730994154,0,1
0,1,1,day,88,0.32878654970760235,0,1
0,1,1,day,89,0.5067690058479533,0,1
0,1,1,day,90,0.31956140350877194,0,1
0,1,1,day,91,0.4958479532163743,0,1
0,1,1,day,92,0.4653362573099415,0,1
0,1,1,day,93,0.44570175438596493,0,1
0,1,1,day,94,0.3959941520467836,0,1
