stage_id,timepoint,month,availability_derate
1,0,1,8.609375
1,0,2,8.609375
1,0,3,8.609375
1,0,4,8.609375
1,0,5,1.0
1,0,6,1.0
1,0,7,1.0
1,0,8,1.0
1,0,9,1.0
1,0,10,1.0
1,0,11,8.609375
1,0,12,8.609375
