EIA_Plant_ID,EIA_Generator_ID,EIA_Plant_Name,Status,Install_Year,Retirement_Year,Sync_To_Grid,Summer_Capacity_MW,Winter_Capacity_MW,Primary_Energy_Source,Secondary_Energy_Source,Technology,Prime_Mover,Source,Latitude,Longitude,NERC_Region,BA_Code,State,County,Transmission_Owner,Region,Type,Retired_Flag,New_Install_Flag,State_BA_Region,Planning_Region,Fuel_Type_Detail,Fuel_Type_Simple,Dual_Fuel,Interconnect,Notes
67278,4146C,Bishop Ranch - BR 2600,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67278,4147R,Bishop Ranch - BR 2600,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67283,6569,Six Flags Magic Mountain,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67283,6569B,Six Flags Magic Mountain,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67299,10101,Pome BESS,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67342,CARV,Carvers Creek Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67342,CARV2,Carvers Creek Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67373,IRISH,"TPE Irish Road Solar, LLC",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Assigned to PJM-S due to other generators in the county with matching Transmission Owner
67374,WHITM,"TPE Whitmell Solar, LLC",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Assigned to PJM-S due to other generators in the county with matching Transmission Owner
67420,CAVPV,Cavalier Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67421,CAVA2,Cavalier Solar A2,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67432,DBL-J,Double J Dairy Array,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67463,MGPV1,Mineral Gap,,,,,,,,,,,,,,,,,,,,,,,,SERC-C,,,,,All SERC LGEE generators are in SERC-C
67485,CG101,Union Sanitary District Cogen,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67485,CG102,Union Sanitary District Cogen,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67509,19064,Grossmont College,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67512,LNOAK,Lone Oak,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67529,AUGUS,"Augusta CSG, LLC",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67530,WAYNE,"Waynesboro Bridge Solar, LLC Community Solar",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67531,SUFFO,"Suffolk CSG, LLC",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67532,FAIRF,"Fairfield Lee Solar, LLC Community Solar",,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67579,ALMT2,AES ES Alamitos 2 LLC,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67602,17444,Zonneveld Oak Grove,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67603,18821,River Ranch Dairy,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67648,30200,Rio Vista Solar,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67680,KOLA,Kola Energy Center,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67691,731,Kern Front,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67695,823,Holtville,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67706,GEN1,Spring Lane,,,,,,,,,,,,,,,,,,,,,,,,PJM-W,,,,,Based on transmission owner associated with Allegheny Power zone
67729,20234,"Jackson Solar WI, LLC",,,,,,,,,,,,,,,,,,,,,,,,MISO-W,,,,,Seems like a State typo. County is in WI
67743,4057B,Bishop Ranch BR 1-X,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67743,4057C,Bishop Ranch BR 1-X,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67743,4057R,Bishop Ranch BR 1-X,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67764,RBESS,Rosamond South 1,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67764,RS1,Rosamond South 1,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67770,30200,Pittsburg RV Solar,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67793,OPSKY,Open Sky Ranch Inc,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67794,PV1,City of Atwater NEM,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67818,CIDFL,Corcoran Irrigation District Floating Solar,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67820,DXCRK,Dixie Creek Dairy Solar,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67828,MES1,Mordor ES1,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67829,MES2,Mordor ES2,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67835,64544,Costa View Farms,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67846,RIVA,Rivanna Solar,,,,,,,,,,,,,,,,,,,,,,,,PJM-S,,,,,Based on transmission owner associated with Dominion Virginia Power zone
67853,PV1,Delta Electronics Fremont,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67853,PV4,Delta Electronics Fremont,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67863,TWC,TWC,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67866,10221,Paso Robles - Municipal Airport,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67868,HF1,Harris Farms Solar Facility,,,,,,,,,,,,,,,,,,,,,,,,Northern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67878,BESS1,Chula Vista Energy Cneter 2,,,,,,,,,,,,,,,,,,,,,,,,Southern California,,,,,From Ryan's County Mapping in 2030 Non-SPP Capacity Mix
67899,GEN5,PNY BESS LLC,,,,,,,,,,,,,,,,,,,,,,,,PJM-E,,,,,Based on transmission owner associated with PECO Energy zone
67905,RDR1,Roadrunner Reserve Phase 1,,,,,,,,,,,,,,,,,,,,,,,,SOUTHWEST,,,,,Generator in Arizona
