GridPath_Fuel_Type,Min_Value,Max_Value,Size,Generator Catagory/Classification,Start,End,# Units,Unit-Years,NMC,NDC,Attempts,Actual,SH,RSH,# RSH,Pump Hr,SCH,AH,FOH,# FOH,POH,# POH,SEPO,# SEPO,MOH,# MOH,SEMO,# SEMO,UAH,PH,EFDH,ESDH,EFDHRS,EDOH,POF,MOF,ART,SR,NCF,NOF,SF,AF,EAF,FOR,EFOR,EFORd,SOF,FOF,UOF,EUOF,EUOR,WSF,WAF,WEAF,WFOR,WEFOR,WSOF,WFOF
OIL,800,1000,800-999,FOSSIL  Oil Primary         800-999,2019,2023,7,13.67,812,809,3.73,3.29,79.28,"7,120.38",8.05,0,0,"7,199.66",75.8,1.98,968.17,1.68,124.4,0.51,342.14,1.98,0,0,"1,510.51","8,710.17",244.79,0,240.86,244.79,12.54,3.93,24.1,88.2,0.27,29.44,0.91,82.66,79.53,48.88,80.97,29.63,16.47,0.87,4.8,7.61,89.79,0.91,82.67,79.6,48.39,80.63,16.49,0.85
,,,1000 Plus,FOSSIL  Oil Primary       1000 Plus,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GAS_SINGLE_FUEL,1000,100000,All Sizes,FOSSIL  Gas Primary       All Sizes,2019,2023,330,"1,297.00",240,240,37.91,37.43,"2,518.67","3,915.50",26.18,0,0,"6,434.17",560.06,4.75,840.55,1.6,51.05,0.12,368.47,2.66,6.14,0.03,"1,826.27","8,260.43",164.85,29.88,84.37,194.74,10.79,4.53,67.29,98.73,14.2,43.31,30.49,77.89,75.34,18.19,22.92,13.18,15.33,6.78,11.32,13.49,31.36,32.78,77.28,74.23,14.97,20.7,16.95,5.77
GAS_SINGLE_FUEL,0,100,001-099,FOSSIL  Gas Primary         001-099,2019,2023,83,318.33,53,53,35.05,34.85,"1,539.65","4,037.23",18.44,0,0,"5,576.88",883.14,3.14,570.13,1.1,42.84,0.04,380.5,1.41,1.34,0.01,"1,877.95","7,454.83",73.42,3.05,45.42,76.47,8.22,5.12,44.18,99.43,11.28,44.11,20.65,74.81,73.18,36.45,38.76,17.85,13.34,11.85,16.97,17.98,47.02,25.57,76.09,74.28,30.56,33.04,12.65,11.26
GAS_SINGLE_FUEL,100,200,100-199,FOSSIL  Gas Primary         100-199,2019,2023,101,394.08,131,131,57.45,56.92,"2,471.71","4,284.22",32.57,0,0,"6,755.93",456.65,4.63,849.84,1.55,29.31,0.08,330.84,2.44,2.03,0.04,"1,668.67","8,424.60",152.45,29.73,83.39,182.18,10.44,3.95,43.42,99.08,13.95,47.01,29.34,80.19,77.96,15.59,20.22,10.61,14.39,5.42,9.37,11.47,28.63,29.68,80.09,77.76,15.14,19.83,14.62,5.29
GAS_SINGLE_FUEL,200,300,200-299,FOSSIL  Gas Primary         200-299,2019,2023,43,150.17,235,235,23.01,22.67,"3,580.79","3,616.87",24.13,0,0,"7,197.66",303.54,4.03,817.38,1.41,19.2,0.11,248.37,2.74,0,0,"1,388.49","8,586.15",180.28,26.66,78.54,206.94,9.74,2.89,157.95,98.52,18.21,43.27,41.7,83.83,81.38,7.81,12.21,8.38,12.64,3.54,6.43,8.8,17.88,42.09,83.8,81.47,7.37,11.56,12.85,3.35
GAS_SINGLE_FUEL,300,400,300-399,FOSSIL  Gas Primary         300-399,2019,2023,35,142.5,343,342,32.69,32.08,"3,489.40","3,330.75",30.63,0,0,"6,820.16",374.16,5.98,"1,079.15",2.21,102.52,0.22,300.26,3.6,21.5,0.03,"1,877.60","8,697.75",179.43,36.95,79.9,216.37,13.59,3.7,108.77,98.13,15.27,38.04,40.12,78.41,75.76,9.68,14.04,9.76,17.29,4.3,8,10.32,20.95,40.13,78.3,75.73,9.58,13.8,17.44,4.25
GAS_SINGLE_FUEL,400,600,400-599,FOSSIL  Gas Primary         400-599,2019,2023,51,212.67,478,478,25.18,24.53,"2,829.70","3,442.12",24.38,0,0,"6,271.82",598.5,6.74,963.76,2.02,83.9,0.19,527.32,3.95,5.28,0.04,"2,178.75","8,450.57",259.11,64.41,117.5,323.52,12.4,6.3,115.36,97.42,14.75,44.39,33.49,74.22,70.33,17.46,24.19,16.21,18.7,7.08,13.38,16.53,34.18,33.23,74.37,70.55,17.22,23.94,18.72,6.91
GAS_SINGLE_FUEL,600,800,600-799,FOSSIL  Gas Primary         600-799,2019,2023,10,49.5,683,682,15.74,14.67,"2,460.31","3,655.91",17.52,0,0,"6,116.22",557.05,6.3,"1,447.38",2.36,114.9,0.42,493.26,3.6,39.18,0.14,"2,651.78","8,768.00",422.8,48.62,267.6,471.41,17.82,6.07,167.71,93.2,14.89,49.1,28.06,69.76,64.28,18.46,29.83,20.02,23.89,6.35,12.43,17.25,39.62,30.32,69.8,64.39,17.27,28.04,23.86,6.33
GAS_SINGLE_FUEL,800,1000,800-999,FOSSIL  Gas Primary         800-999,2019,2023,7,29.75,796,796,37.71,37.21,"1,479.17","5,852.83",40.61,0,0,"7,332.00",388.13,4.57,694.84,1.51,0,0,328.16,3.26,20.3,0.07,"1,431.43","8,763.43",56.89,23.46,23.1,80.35,7.93,3.98,39.75,98.67,5.17,30.92,16.88,83.67,82.75,20.79,23.54,10.62,11.91,4.43,8.41,9.29,35.84,16.72,83.29,82.38,21.19,23.86,12.21,4.49
,,,1000 Plus,FOSSIL  Gas Primary       1000 Plus,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
GAS_DUAL_FUEL,1000,100000,All Sizes,FOSSIL  Oil/Gas Primary   All Sizes,2019,2023,384,"1,501.08",251,250,35.81,35.37,"2,434.88","4,002.22",25.79,0,0,"6,437.09",553.24,4.51,812.2,1.55,47.25,0.12,371.14,2.52,6.25,0.03,"1,790.08","8,227.17",177.03,27.91,84.24,204.95,10.45,4.59,68.84,98.77,12.61,43.41,29.6,78.24,75.57,18.51,23.77,13.39,15.03,6.72,11.31,13.63,32.38,29.04,78.15,75.27,15.44,21.47,16.54,5.3
GAS_DUAL_FUEL,0,100,001-099,FOSSIL  Oil/Gas Primary     001-099,2019,2023,98,384.92,56,55,37.49,37.28,"1,908.60","3,597.46",23.31,0,0,"5,506.06",895.48,3.24,522.3,0.95,35.43,0.04,401.49,1.43,1.11,0.01,"1,855.80","7,361.87",157.85,5.5,63.45,163.35,7.58,5.47,51.2,99.44,15.41,46.97,25.93,74.79,72.06,31.93,36.73,18.81,13.04,12.16,17.63,19.83,44.64,32.81,76.15,72.9,25.52,30.94,12.6,11.24
GAS_DUAL_FUEL,100,200,100-199,FOSSIL  Oil/Gas Primary     100-199,2019,2023,109,423.08,130,130,53.9,53.39,"2,481.92","4,314.65",30.86,0,0,"6,796.56",466.6,4.45,822.56,1.52,27.3,0.08,329.5,2.36,1.89,0.04,"1,647.85","8,444.41",158.47,28.14,79.04,186.61,10.06,3.92,46.49,99.05,14.36,47.92,29.39,80.49,78.21,15.82,20.65,10.81,13.99,5.53,9.45,11.59,28.92,29.97,80.38,77.99,15.18,20.09,14.26,5.36
GAS_DUAL_FUEL,200,300,200-299,FOSSIL  Oil/Gas Primary     200-299,2019,2023,43,150.25,235,235,23.02,22.68,"3,579.85","3,618.06",24.15,0,0,"7,197.91",303.37,4.03,816.93,1.4,19.18,0.11,248.95,2.74,0,0,"1,388.43","8,586.34",180.18,26.64,78.5,206.82,9.74,2.9,157.84,98.52,18.21,43.27,41.69,83.83,81.39,7.81,12.21,8.37,12.64,3.53,6.43,8.8,17.89,42.08,83.8,81.48,7.37,11.56,12.85,3.35
GAS_DUAL_FUEL,300,400,300-399,FOSSIL  Oil/Gas Primary     300-399,2019,2023,44,182.92,348,347,28.53,28,"3,009.30","3,731.08",26.83,0,0,"6,740.38",347.96,5.3,"1,063.35",2.21,81.65,0.18,315.24,3.24,16.75,0.02,"1,824.95","8,565.33",145.08,31.9,63.32,176.98,13.37,3.88,107.48,98.14,13.17,37.68,35.13,78.69,76.49,10.36,14.41,9.58,17.24,4.06,7.94,9.85,22.41,34.94,78.69,76.58,10.24,14.16,17.32,3.99
GAS_DUAL_FUEL,400,600,400-599,FOSSIL  Oil/Gas Primary     400-599,2019,2023,62,242.58,476,476,23.16,22.58,"2,501.26","3,910.60",23.01,0,0,"6,411.86",547.16,6.23,959.49,2.02,80.69,0.2,485.53,3.7,4.63,0.03,"2,077.50","8,489.36",230.19,60.72,105.77,290.91,12.25,5.77,110.77,97.5,13.02,44.34,29.46,75.53,72.01,17.95,24.64,15.7,18.03,6.45,12.22,15.03,34.89,29.37,75.59,72.13,17.73,24.41,18.08,6.33
GAS_DUAL_FUEL,600,800,600-799,FOSSIL  Oil/Gas Primary     600-799,2019,2023,15,68.92,661,660,14.71,13.92,"1,847.24","4,620.13",17.12,0,0,"6,467.37",484.87,5.54,"1,242.37",2.12,96.45,0.38,416.76,2.84,48.85,0.15,"2,289.30","8,756.66",333.28,35.05,220.06,368.33,15.29,5.32,132.7,94.63,11.4,48.84,21.1,73.86,69.46,20.79,32.06,19.15,20.61,5.54,10.85,14.67,42.55,23.34,73.51,69.05,19.26,30.08,20.92,5.57
GAS_DUAL_FUEL,800,1000,800-999,FOSSIL  Oil/Gas Primary     800-999,2019,2023,12,43.42,801,800,27.02,26.53,"1,038.51","6,251.83",30.36,0,0,"7,290.34",289.82,3.75,780.88,1.57,39.16,0.16,332.56,2.86,13.91,0.05,"1,456.32","8,746.66",116.04,16.08,91.65,132.11,9.38,3.96,39.14,98.19,3.61,30.89,11.87,83.35,81.74,21.82,28.58,11.56,13.34,3.31,7.27,8.77,42.85,11.69,83.09,81.5,22.2,28.86,13.57,3.34
,,,1000 Plus,FOSSIL  Oil/Gas Primary   1000 Plus,2019,2023,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,All Sizes,FOSSIL  Lignite Primary   All Sizes,2019,2023,18,77.75,522,520,10.95,10.59,"7,174.73",339.43,2.7,0,0,"7,514.16",382.64,7.38,591.62,1.23,36.46,0.26,143,1.67,1.45,0.05,"1,155.17","8,669.33",308.11,47.75,1.25,355.85,7.24,1.67,677.5,96.71,63.78,76.76,82.76,86.68,81.56,5.06,9.14,8.83,8.91,4.41,6.08,9.95,11.19,83.08,87.32,82.65,4.59,8.94,8.69,3.99
